nombre_del_articulo;vendedor_del_articulo;precio_del_articulo;enlace_del_articulo;image_urls
GHS LS8089 - Limpiador y lubricante para cuerdas de guitarra;Desconocido;€13,96;https://www.amazon.es/GHS-LS8089-Limpiador-lubricante-guitarra/dp/B0002D0CQC/ref=sr_1_23/258-6960117-4334608?ie=UTF8&qid=1510608864&sr=8-23&keywords=guitarras;https://images-eu.ssl-images-amazon.com/images/I/41CwKd+uCSL._AC_US218_.jpg
Guitarra acústica WESTERN completa con accesorios y ecualizador activo de 4 bandas . Calidad Premium. NEGRA. Tamaño regular (4/4).;ts-ideen;€6,40;https://www.amazon.es/Guitarra-ac%C3%BAstica-completa-accesorios-ecualizador/dp/B00P1C95O4/ref=sr_1_24/258-6960117-4334608?ie=UTF8&qid=1510608864&sr=8-24&keywords=guitarras;https://images-eu.ssl-images-amazon.com/images/I/517+9wOW8KL._AC_US218_.jpg
Yafine 6 cuerda 6 Fret portátil de madera de bolsillo guitarra portátil de bolsillo de guitarra acústica práctica herramienta Gadget Chord entrenador para principiantes;Yafine;€79,90;https://www.amazon.es/Yafine-port%C3%A1til-herramienta-entrenador-principiantes/dp/B074Z6WNGW/ref=sr_1_25/258-6960117-4334608?ie=UTF8&qid=1510608864&sr=8-25&keywords=guitarras;https://images-eu.ssl-images-amazon.com/images/I/510hdiAHfeL._AC_US218_.jpg
Guitarra Clásica;Andres Segovia;€15,99;https://www.amazon.es/Guitarra-Cl%C3%A1sica-Andres-Segovia/dp/B071DPFJYC/ref=sr_1_26/258-6960117-4334608?ie=UTF8&qid=1510608864&sr=8-26&keywords=guitarras;https://images-eu.ssl-images-amazon.com/images/I/51o4IpzVIOL._AC_US218_.jpg
NAVARRA NV12 Guitarra clásica 4/4 negro con bordes crema incl. funda con correas tipo mochila y bolsillo para partituras/accesorios, 2 Púa;Navarra;€51,01;https://www.amazon.es/NV12-Guitarra-bolsillo-partituras-accesorios/dp/B00R41I0B4/ref=sr_1_27/258-6960117-4334608?ie=UTF8&qid=1510608864&sr=8-27&keywords=guitarras;https://images-eu.ssl-images-amazon.com/images/I/41EeQkg6SEL._AC_US218_.jpg
ammoon 2 Paquetes 1/4 Pulgadas Pedal de Efectos de Guitarra de 6.35mm Acoplador de Offset Jack Pedales Conector Pedal Guitarra Accesorio Junta;ammoon;€8,99;https://www.amazon.es/ammoon-Paquetes-Pulgadas-Acoplador-Accesorio/dp/B01M5G45GJ/ref=sr_1_28/258-6960117-4334608?ie=UTF8&qid=1510608864&sr=8-28&keywords=guitarras;https://images-eu.ssl-images-amazon.com/images/I/416poxOaa8L._AC_US218_.jpg
GUITARRA ESPAÑOLA;BBuy;€14,56;https://www.amazon.es/BBuy-5009574-GUITARRA-ESPA%C3%91OLA/dp/B003D3FUI8/ref=sr_1_29/258-6960117-4334608?ie=UTF8&qid=1510608864&sr=8-29&keywords=guitarras;https://images-eu.ssl-images-amazon.com/images/I/412KjHQ5BdL._AC_US218_.jpg
SUCK UK SK LUNCHGUITAR1 - Caja de almuerzo de estaño con forma de guitarra;Suck UK;€7,99;https://www.amazon.es/SUCK-UK-SK-LUNCHGUITAR1-almuerzo/dp/B016NGTYX8/ref=sr_1_30/258-6960117-4334608?ie=UTF8&qid=1510608864&sr=8-30&keywords=guitarras;https://images-eu.ssl-images-amazon.com/images/I/41RV-7PwKyL._AC_US218_.jpg
King Do Way Cinta de Cobre 30mmx20m Un Lado Adhesiva Conductivo Para Guitarra EMI Blindaje, vidrieras, manualidades, soldadura;KING DO WAY;€79,90;https://www.amazon.es/30mmx20m-Conductivo-vidrieras-manualidades-soldadura/dp/B016Y58SJY/ref=sr_1_31/258-6960117-4334608?ie=UTF8&qid=1510608864&sr=8-31&keywords=guitarras;https://images-eu.ssl-images-amazon.com/images/I/41A1xeANa6L._AC_US218_.jpg
Metrónomo y Afinador (Metro-Afinador) para Guitarra, Bajo, Violín, Ukulele con Pantalla Colorida  Incluye Baterías Recargables;Mugig;€8,99;/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A03784003LC72CD5D4WCK&url=https%3A%2F%2Fwww.amazon.es%2FMetr%25C3%25B3nomo-Afinador-Metro-Afinador-Guitarra-Recargables%2Fdp%2FB01DPAFZVK%2Fref%3Dsr_1_33_sspa%2F258-6960117-4334608%3Fie%3DUTF8%26qid%3D1510608864%26sr%3D8-33-spons%26keywords%3Dguitarras%26psc%3D1&qualifier=1510608864&id=527829699222919&widgetName=sp_btf;https://images-eu.ssl-images-amazon.com/images/I/41ADk9jGRFL._AC_US218_.jpg
